TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VSPT4;0,00;;0,00;0,00;0,00;19,76;12,09;7,29;0,00;3,37;-0,56;-0,07;0,00;0,00;0,00;0,71;7,57;4,16;12,19;0,55;0,45;0,57;10,07;;;10,15;0,77;0,00;1.780.029.215,00
VSTE3;4,68;;1.015,34;0,51;0,32;63,15;4,84;0,05;9,54;15,10;5,56;0,30;0,46;3,74;-0,46;1,38;0,05;0,03;4,03;0,62;0,38;0,69;3,10;;26.956,57;9,15;0,00;-10,64;535.082.385,24
VTRU3;10,40;0,23;-5,17;1,53;1,24;22,04;-7,31;-14,81;-10,46;-6,78;3,68;-0,54;0,77;2,95;-2,71;4,48;-29,57;-24,02;-29,52;0,81;0,19;1,62;;;1.709.792,61;6,81;-2,01;;394.014.992,80
VULC3;19,71;13,21;6,78;2,31;1,62;41,45;21,52;24,37;7,68;7,88;0,20;0,06;1,65;3,68;-5,10;2,82;33,99;23,91;24,35;0,70;0,30;0,98;17,52;41,12;11.899.444,96;8,55;2,91;0,11;5.430.819.369,24
VVEO3;1,01;;-0,22;0,18;0,04;11,47;-7,06;-12,74;-0,40;-3,93;-3,52;1,60;0,03;0,16;-0,07;1,74;-81,75;-15,87;-16,92;0,19;0,81;1,25;30,99;;1.248.628,04;5,54;-4,53;0,00;326.048.814,08
WEGE3;37,47;2,24;24,53;7,08;3,95;33,61;19,82;15,65;19,37;18,99;-0,38;-0,14;3,84;14,24;-10,82;1,77;28,86;16,09;25,60;0,56;0,42;1,03;23,27;31,76;186.571.622,13;5,29;1,53;2,44;157.273.505.385,06
WEST3;5,06;;-4,01;0,26;0,19;39,61;-17,88;-9,13;-2,05;1,57;3,62;-0,45;0,37;0,50;-0,45;3,00;-6,41;-4,76;-13,03;0,74;0,26;0,52;5,08;;99.824,30;19,70;-1,26;0,05;56.213.300,88
WHRL3;4,53;13,24;7,28;3,06;0,68;18,21;7,83;7,11;6,61;6,16;-0,54;-0,25;0,52;-41,76;-2,11;0,98;41,96;9,37;18,77;0,22;0,78;1,32;10,80;-12,04;16.914,41;1,48;0,62;0,04;6.897.696.778,84
WHRL4;4,72;13,97;7,59;3,18;0,71;18,21;7,83;7,11;6,89;6,16;-0,54;-0,25;0,54;-43,52;-2,20;0,98;41,96;9,37;18,77;0,22;0,78;1,32;10,80;-12,04;43.376,57;1,48;0,62;0,04;6.897.696.778,84
WIZC3;8,40;2,98;7,27;2,09;0,55;61,85;44,23;13,63;2,24;2,40;0,16;0,15;0,99;-33,56;-0,71;0,93;28,76;7,56;24,12;0,26;0,48;0,55;13,02;-2,88;2.104.693,43;4,02;1,16;1,18;1.343.221.168,80
WLMM3;21,75;3,29;6,97;0,98;0,53;12,90;6,56;3,83;4,07;5,71;1,83;0,44;0,27;1,92;-1,26;1,91;14,11;7,61;8,24;0,54;0,46;1,99;23,58;17,94;2.209,80;22,11;3,12;-0,45;754.316.517,50
WLMM4;19,85;3,97;6,36;0,90;0,48;12,90;6,56;3,83;3,71;5,71;1,83;0,44;0,24;1,75;-1,15;1,91;14,11;7,61;8,24;0,54;0,46;1,99;23,58;17,94;16.841,42;22,11;3,12;-0,41;754.316.517,50
YDUQ3;11,93;4,78;10,95;1,08;0,34;61,02;16,26;5,49;3,70;8,78;5,08;1,48;0,60;6,57;-0,45;1,28;9,82;3,13;9,88;0,32;0,68;0,57;8,46;-14,30;27.982.868,26;11,10;1,09;0,11;3.269.879.992,43
ZAMP3;3,50;;-7,53;0,97;0,34;64,76;-0,15;-3,89;-197,27;-316,58;-119,31;0,59;0,29;-10,67;-0,43;0,87;-12,84;-4,46;-2,75;0,35;0,65;1,15;9,70;;770.743,91;3,62;-0,46;-0,08;1.424.270.382,50
