1759708800000000,123482.32000000,123500.00000000,123318.57000000,123385.41000000,47.60687000,1759709099999999,5875315.15667490,14464,16.72847000,2064569.16356290,0
1759709100000000,123385.41000000,123385.41000000,123288.00000000,123332.58000000,33.98794000,1759709399999999,4191335.55122670,10231,10.37520000,1279341.62370470,0
1759709400000000,123332.59000000,123514.74000000,123268.55000000,123514.00000000,46.67999000,1759709699999999,5761703.06003630,10759,32.71502000,4038593.72830920,0
1759709700000000,123514.01000000,124343.93000000,123514.01000000,124336.44000000,295.29702000,1759709999999999,36598225.68441180,60231,208.82888000,25875884.65349130,0
1759710000000000,124336.44000000,124358.46000000,123701.61000000,123929.62000000,189.05798000,1759710299999999,23436674.20495570,40828,89.98875000,11153422.88312800,0
1759710300000000,123929.62000000,123929.62000000,123500.00000000,123660.66000000,112.97990000,1759710599999999,13971205.36455190,40863,43.01269000,5319257.67306030,0
1759710600000000,123660.66000000,123881.16000000,123627.64000000,123790.94000000,105.82812000,1759710899999999,13096890.15673840,40207,61.82502000,7650586.21810160,0
1759710900000000,123790.94000000,123790.94000000,123456.58000000,123522.55000000,91.66872000,1759711199999999,11331237.80687220,30978,34.69517000,4288851.29577540,0
1759711200000000,123522.56000000,123704.37000000,123473.50000000,123704.15000000,52.99415000,1759711499999999,6551261.15869960,19146,31.41091000,3882873.23881110,0
1759711500000000,123704.16000000,123744.18000000,123484.12000000,123545.02000000,56.94534000,1759711799999999,7039165.75391410,18319,26.53730000,3280500.12359560,0
1759711800000000,123545.02000000,123558.67000000,123135.98000000,123171.99000000,157.20254000,1759712099999999,19382012.85835160,28202,49.17494000,6061361.13513480,0
1759712100000000,123171.99000000,123437.00000000,123084.00000000,123347.29000000,114.84679000,1759712399999999,14157162.71287490,22962,71.91058000,8864382.80341130,0
1759712400000000,123347.29000000,123404.89000000,123192.01000000,123380.39000000,78.91353000,1759712699999999,9730096.97515950,22116,28.15458000,3471427.23960710,0
1759712700000000,123380.40000000,123633.33000000,123375.28000000,123482.08000000,51.15979000,1759712999999999,6319102.52423270,16083,33.68788000,4161245.65376990,0
1759713000000000,123482.09000000,123600.53000000,123482.08000000,123486.87000000,52.25800000,1759713299999999,6456181.30288260,10194,23.79820000,2940246.20080650,0
1759713300000000,123486.88000000,123566.59000000,123314.09000000,123566.58000000,38.30356000,1759713599999999,4727916.59782430,12377,18.56702000,2291810.17295710,0
1759713600000000,123566.58000000,123894.73000000,123566.58000000,123891.74000000,58.05110000,1759713899999999,7181989.74582160,18976,40.63839000,5027563.81287360,0
1759713900000000,123891.75000000,123991.89000000,123796.46000000,123851.35000000,64.11108000,1759714199999999,7943893.01560180,17745,25.84090000,3202042.96604630,0
1759714200000000,123851.35000000,124128.00000000,123851.34000000,124021.22000000,106.83567000,1759714499999999,13252306.20193090,25056,75.41784000,9354752.03395690,0
1759714500000000,124021.23000000,124239.70000000,123918.00000000,123978.95000000,119.99359000,1759714799999999,14888153.85238670,21434,65.59925000,8139043.69710710,0
1759714800000000,123978.95000000,124058.00000000,123727.68000000,123857.52000000,55.34802000,1759715099999999,6856118.96121780,20474,16.33116000,2023023.98584320,0
1759715100000000,123857.52000000,124012.79000000,123781.10000000,123962.30000000,39.11235000,1759715399999999,4846473.62970110,15196,20.44664000,2533992.72711770,0
1759715400000000,123962.31000000,124043.70000000,123960.06000000,124020.87000000,31.89896000,1759715699999999,3955337.59486640,11270,15.16080000,1879723.15959040,0
1759715700000000,124020.87000000,124046.02000000,123968.77000000,124035.32000000,24.60722000,1759715999999999,3051781.20324060,7582,13.42579000,1665097.94497900,0
1759716000000000,124035.33000000,124107.46000000,123853.07000000,123862.33000000,52.33101000,1759716299999999,6489485.25493650,16387,16.28884000,2020359.45404900,0
1759716300000000,123862.33000000,123963.74000000,123858.11000000,123868.99000000,23.34792000,1759716599999999,2892933.63455150,14425,11.94428000,1479843.71078320,0
1759716600000000,123868.98000000,123963.74000000,123807.69000000,123865.14000000,22.15312000,1759716899999999,2744059.58362640,13463,9.70504000,1202068.18661030,0
1759716900000000,123865.15000000,123931.63000000,123839.07000000,123852.86000000,19.37596000,1759717199999999,2400202.18212070,10504,8.12774000,1006845.87010400,0
1759717200000000,123852.86000000,124074.43000000,123808.00000000,123947.91000000,59.06013000,1759717499999999,7320892.58824920,13737,42.17873000,5228486.61642390,0
1759717500000000,123947.91000000,123968.51000000,123824.69000000,123871.43000000,76.40446000,1759717799999999,9466218.08837130,11426,22.76611000,2820772.55309430,0
1759717800000000,123871.44000000,123936.31000000,123482.59000000,123525.98000000,136.49185000,1759718099999999,16874804.14467550,20697,42.20803000,5217755.52678360,0
1759718100000000,123525.97000000,123626.00000000,123476.04000000,123626.00000000,46.62205000,1759718399999999,5761192.26142580,12383,29.34593000,3626581.34708050,0
1759718400000000,123625.99000000,123859.77000000,123625.99000000,123839.07000000,68.39541000,1759718699999999,8466277.21877420,10061,49.61938000,6141939.41405280,0
1759718700000000,123839.08000000,124244.93000000,123839.07000000,124071.65000000,100.96626000,1759718999999999,12521424.39636900,18945,45.88003000,5692119.22852680,0
1759719000000000,124071.66000000,124200.00000000,123963.74000000,124002.22000000,48.72927000,1759719299999999,6044721.75693540,18196,21.22734000,2632960.36214940,0
1759719300000000,124002.23000000,124143.76000000,123991.78000000,124110.61000000,42.19145000,1759719599999999,5233159.48740370,12281,28.72193000,3562533.47440900,0
1759719600000000,124110.61000000,124126.31000000,124002.22000000,124028.00000000,38.67910000,1759719899999999,4799144.30070700,18483,11.19969000,1389530.84410820,0
