TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BRPR3;131,17;;-0,56;0,05;0,04;100,00;-336,36;-123,98;-0,21;0,06;0,27;-0,07;0,70;1,73;-0,05;1,12;-9,55;-6,86;-31,25;0,72;0,28;0,06;-7,12;;;2.447,95;-233,75;0,01;60.919.545,44
BRQB3;0,00;;0,00;0,00;0,00;36,45;14,51;11,33;0,00;-1,27;-1,27;-0,42;0,00;0,00;0,00;2,91;25,74;15,73;14,00;0,61;0,38;1,39;6,83;17,62;;1,83;0,47;0,00;0,00
BRSR3;16,70;9,60;5,38;0,62;0,04;29,79;7,77;6,14;4,25;4,07;;;0,33;13,71;-0,04;1,31;11,45;0,80;;0,07;0,93;0,13;15,28;0,02;171.939,84;27,14;3,11;0,09;6.546.439.371,86
BRSR5;15,10;12,58;4,86;0,56;0,04;29,79;7,77;6,14;3,84;4,07;;;0,30;12,40;-0,04;1,31;11,45;0,80;;0,07;0,93;0,13;15,28;0,02;1.492,75;27,14;3,11;0,08;6.546.439.371,86
BRSR6;15,31;10,47;4,93;0,56;0,04;29,79;7,77;6,14;3,90;4,07;;;0,30;12,57;-0,04;1,31;11,45;0,80;;0,07;0,93;0,13;15,28;0,02;27.594.412,58;27,14;3,11;0,08;6.546.439.371,86
BRST3;3,35;1,16;12,66;0,94;0,36;42,40;14,96;8,46;7,16;12,19;5,03;0,66;1,07;3,62;-0,51;1,54;7,44;2,86;5,71;0,38;0,62;0,34;41,71;35,66;688.097,05;3,56;0,26;-1,07;1.467.325.248,95
BSEV3;9,00;;10,22;-10,84;0,78;26,77;17,92;5,55;3,17;5,46;2,30;;0,57;-1,59;-1,13;0,39;-106,05;7,59;30,90;-0,07;1,07;1,37;10,88;;;-0,83;0,88;-0,06;9.183.864.834,00
BSLI3;6,71;6,09;4,04;0,82;0,04;35,96;11,12;7,43;2,70;2,76;;;0,30;-1,66;-0,04;0,11;20,28;1,08;;0,05;0,95;0,15;23,49;15,97;43.830,21;8,20;1,66;0,00;3.341.983.868,33
BSLI4;7,19;6,25;4,33;0,88;0,05;35,96;11,12;7,43;2,89;2,76;;;0,32;-1,78;-0,05;0,11;20,28;1,08;;0,05;0,95;0,15;23,49;15,97;15.862,89;8,20;1,66;0,00;3.341.983.868,33
BTTL4;11.091,73;;28.209,72;3.945,65;2.893,88;80,40;-115,99;273,93;-66.624,66;-22,82;1,38;-0,08;77.275,86;24.488,10;-3.429,09;4,12;13,99;10,26;-21,31;0,73;0,27;0,04;-44,69;-9,58;;2,81;0,39;-205,61;59.888.089,04
CALI3;16,05;1,68;5,30;0,63;0,16;28,56;14,10;11,18;4,20;7,14;2,94;0,44;0,59;0,28;-0,56;5,79;11,84;3,08;5,58;0,26;0,61;0,28;79,12;;19.795,00;25,57;3,03;0,00;112.170.240,00
CALI4;50,00;;16,51;1,96;0,51;28,56;14,10;11,18;13,09;7,14;2,94;0,44;1,85;0,87;-1,76;5,79;11,84;3,08;5,58;0,26;0,61;0,28;79,12;;;25,57;3,03;0,00;112.170.240,00
CAMB3;9,89;10,69;6,33;1,35;1,05;48,58;18,02;16,77;5,89;5,03;-0,87;-0,20;1,06;3,04;-2,18;3,04;21,24;16,65;17,34;0,78;0,22;0,99;14,78;26,72;205.866,74;7,35;1,56;-0,55;418.100.541,20
CAMB4;6,25;;4,00;0,85;0,67;48,58;18,02;16,77;3,72;5,03;-0,87;-0,20;0,67;1,92;-1,38;3,04;21,24;16,65;17,34;0,78;0,22;0,99;14,78;26,72;;7,35;1,56;-0,35;418.100.541,20
CAML3;5,53;4,98;8,29;0,56;0,17;15,28;4,68;1,97;3,48;8,84;5,36;0,86;0,16;0,80;-0,40;1,64;6,75;2,10;3,74;0,31;0,69;1,07;17,84;-0,53;4.618.544,00;9,88;0,67;-0,14;1.935.500.000,00
CASH3;3,83;;7,94;0,80;0,65;18,02;18,02;12,80;5,64;4,77;-0,87;-0,12;1,02;6,24;-0,86;1,73;10,03;8,18;3,74;0,82;0,18;0,64;34,97;29,42;6.108.939,74;4,81;0,48;-0,03;433.642.381,82
CASN3;8,77;0,54;27,16;4,07;1,76;52,92;30,82;17,94;15,81;16,62;3,26;0,84;4,87;80,32;-2,15;1,13;14,98;6,46;10,54;0,43;0,57;0,36;11,65;26,37;0,00;2,16;0,32;0,25;8.853.637.450,79
CASN4;6,07;0,87;18,80;2,82;1,22;52,92;30,82;17,94;10,95;16,62;3,26;0,84;3,37;55,59;-1,49;1,13;14,98;6,46;10,54;0,43;0,57;0,36;11,65;26,37;0,00;2,16;0,32;0,17;8.853.637.450,79
CATA3;103,61;6,63;0,82;0,07;0,03;26,05;7,43;5,80;0,64;4,08;3,45;0,39;0,05;0,13;-0,09;1,78;8,89;4,22;2,32;0,47;0,53;0,73;12,29;20,24;;1.418,62;126,09;-0,05;14.940.354,78
